Rank,ID,Name,Position,Week,Team,Opp,Att,RushYds,RushYds/Att,RushTD,Targets,Rec,PassYds,PassTD,Fum,Lost,FantasyPoints
9,13418,Anthony Sherman,FB,5,KC,CHI,0,0,0,0,0,0,0,0,0,0,0.00
10,16163,Antonio Andrews,RB,5,TEN,BUF,7,9,1,1,4,3,45,0,0,0,11.40
11,11792,Arian Foster,RB,5,HOU,IND,19,41,2,0,10,9,77,0,0,0,11.80
12,15207,Benjamin Cunningham,RB,5,LA,GB,0,0,0,0,2,2,28,0,0,0,2.80
13,14687,Bernard Pierce,RB,5,JAX,TB,2,6,3,0,0,0,0,0,0,0,0.60
14,16178,Bishop Sankey,RB,5,TEN,BUF,7,20,3,0,3,3,23,0,1,0,4.30
15,13852,Bobby Rainey,RB,5,TB,JAX,0,0,0,0,0,0,0,0,0,0,0.00
16,16345,Branden Oliver,RB,5,SD,PIT,0,0,0,0,0,0,0,0,0,0,0.00
17,13741,Brandon Bolden,RB,5,NE,DAL,0,0,0,0,0,0,0,0,0,0,0.00
18,13446,Bruce Miller,FB,5,SF,NYG,0,0,0,0,2,2,23,0,0,0,2.30
19,16668,Carlos Hyde,RB,5,SF,NYG,21,93,4,1,5,1,4,0,0,0,15.70
20,11737,Cedric Peerman,RB,5,CIN,SEA,0,0,0,0,0,0,0,0,0,0,0.00
21,16307,Charcandrick West,RB,5,KC,CHI,7,31,4,0,2,1,5,0,0,0,3.60
22,16609,Charles Sims,RB,5,TB,JAX,12,51,4,0,4,4,85,0,0,0,13.60
23,15596,Chase Reynolds,RB,5,LA,GB,0,0,0,0,0,0,0,0,0,0,0.00
24,6828,Chris Johnson,RB,5,ARI,DET,11,103,9,0,0,0,0,0,0,0,10.30
25,13735,Chris Polk,RB,5,HOU,IND,1,5,5,0,3,2,17,0,0,0,2.20
26,15102,Chris Thompson,RB,5,WAS,ATL,3,15,5,0,7,6,33,0,0,0,4.80
27,15256,Christine Michael,RB,5,DAL,NE,1,6,6,0,0,0,0,0,0,0,0.60
28,15498,Cierre Wood,RB,5,BUF,TEN,2,3,2,0,0,0,0,0,0,0,0.30
29,15020,CJ Anderson,RB,5,DEN,OAK,11,22,2,0,2,2,18,0,0,0,4.00
30,10949,CJ Spiller,RB,5,NO,PHI,3,10,3,0,4,3,-8,0,0,0,0.20
31,17197,Corey Grant,RB,5,JAX,TB,2,-6,-3,0,0,0,0,0,1,1,-2.60
32,14788,Dan Herron,RB,5,BUF,TEN,9,28,3,0,0,0,0,0,1,0,2.80
